,Country,City,AccentCity,Region,Population,Latitude,Longitude
870701,es,laguna de duero,Laguna de Duero,55,19362,41.581514,-4.723322
870836,es,la linea,La Línea,51,61369,36.168024,-5.347195
870837,es,lalin,Lalín,58,20266,42.660853,-8.112852
870841,es,la llagosta,La Llagosta,56,13012,41.514348,2.19297
871072,es,langreo,Langreo,34,45071,43.300086,-5.684644
871120,es,la orotava,La Orotava,53,41446,28.387309,-16.516774
871128,es,la palma del condado,La Palma del Condado,51,9904,37.386047,-6.55231
871240,es,la puebla de cazalla,La Puebla de Cazalla,51,10794,37.221548,-5.311534
871249,es,la puebla del rio,La Puebla del Río,51,10775,37.267874,-6.062641
871317,es,laredo,Laredo,39,12871,43.409802,-3.416131
871354,es,la rinconada,La Rinconada,51,30051,37.487342,-5.982579
871375,es,la roda,La Roda,54,14535,39.216667,-2.15
871755,es,la solana,La Solana,54,15374,38.944216,-3.238096
871772,es,las palmas,Las Palmas,53,365418,28.099727,-15.41343
871823,es,las rozas de madrid,Las Rozas de Madrid,29,70110,40.492113,-3.871271
871850,es,las torres de cotillas,Las Torres de Cotillas,51,18208,38.027933,-1.244291
871963,es,la union,La Unión,31,16095,37.619154,-0.877993
872028,es,laviana,Laviana,34,14321,43.245385,-5.562896
872100,es,lebrija,Lebrija,51,24754,36.920774,-6.075286
872132,es,leganes,Leganés,29,192000,40.326946,-3.760422
872169,es,lena,Lena,34,13377,43.160886,-5.828783
872185,es,leon,León,55,127480,42.600031,-5.570316
872189,es,lepe,Lepe,51,20176,37.254819,-7.204334
872307,es,linares,Linares,51,56982,38.095193,-3.63602
872383,es,llanera,Llanera,34,12124,43.433333,-5.883333
872386,es,llanes,Llanes,34,13084,43.422601,-4.756861
872427,es,lleida,Lleida,56,119320,41.616667,0.633333
872461,es,llodio,Llodio,59,19623,43.143222,-2.962042
872475,es,lloret de mar,Lloret de Mar,56,23009,41.699929,2.845646
872542,es,logrono,Logroño,27,142103,42.466667,-2.45
872551,es,loja,Loja,51,20750,37.164893,-4.148524
872627,es,lora del rio,Lora del Río,51,18761,37.658961,-5.52751
872633,es,lorca,Lorca,31,85756,37.671192,-1.701699
872727,es,los barrios,Los Barrios,51,18314,36.184704,-5.489539
872817,es,los corrales de buelna,Los Corrales de Buelna,39,11066,43.263577,-4.072621
872911,es,los llanos de aridane,Los Llanos de Aridane,53,19461,28.658507,-17.918211
873223,es,lucena,Lucena,51,37402,37.410533,-4.486109
873264,es,lugo,Lugo,58,85450,43.013813,-7.558543
873328,es,madridejos,Madridejos,54,11743,39.468226,-3.531957
873329,es,madrid,Madrid,29,3102644,40.408566,-3.69222
873381,es,mahon,Mahón,07,26926,39.883333,4.25
873389,es,mairena del alcor,Mairena del Alcor,51,17263,37.373014,-5.749515
873390,es,mairena del aljarafe,Mairena del Aljarafe,51,36774,37.34461,-6.063913
873396,es,majadahonda,Majadahonda,29,56060,40.4717,-3.869451
873410,es,malaga,Málaga,51,557875,36.726666,-4.434802
873424,es,malgrat de mar,Malgrat de Mar,56,15524,41.646217,2.741505
873477,es,manacor,Manacor,07,36095,39.570524,3.211409
873512,es,manises,Manises,60,27420,39.483333,-0.45
873519,es,manlleu,Manlleu,56,18944,42.002284,2.28476
873523,es,manresa,Manresa,56,69134,41.726337,1.825837
873552,es,manzanares,Manzanares,54,18306,38.999149,-3.369911
873583,es,maracena,Maracena,51,17085,37.208244,-3.633508
873599,es,marbella,Marbella,51,115484,36.510485,-4.885745
873614,es,marchena,Marchena,51,18319,37.329,-5.416815
873658,es,marin,Marín,58,25497,42.383333,-8.7
873691,es,marratxi,Marratxi,07,27035,39.65,2.8
873729,es,martorell,Martorell,56,24877,41.47402,1.93062
873730,es,martos,Martos,51,22441,37.721072,-3.972645
873967,es,mataro,Mataró,56,114923,41.542113,2.444503
874046,es,mazarron,Mazarrón,31,23068,37.598791,-1.315541
874103,es,medina del campo,Medina del Campo,55,20273,41.312394,-4.914133
874143,es,mejorada del campo,Mejorada del Campo,29,19019,40.392826,-3.481941
874164,es,melilla,Melilla,51,66419,35.283924,-2.943075
874239,es,merida,Mérida,57,50333,38.916109,-6.343657
874282,es,miajadas,Miajadas,57,10733,39.151274,-5.908408
874296,es,mieres,Mieres,34,45510,43.25,-5.766667
874312,es,mijas,Mijas,51,51023,36.595299,-4.639861
874413,es,miranda de ebro,Miranda de Ebro,55,36386,42.686503,-2.94695
874439,es,mislata,Mislata,60,43287,39.466667,-0.416667
874451,es,moana,Moaña,58,18244,42.283333,-8.75
874482,es,moguer,Moguer,51,15606,37.275593,-6.838507
874512,es,molina de segura,Molina de Segura,31,51917,38.054559,-1.207631
874555,es,mollet del valles,Mollet del Vallès,56,51077,41.538293,2.212456
874588,es,moncada,Moncada,60,19890,39.55,-0.4
874633,es,monforte de lemos,Monforte de Lemos,58,18451,42.522226,-7.514324
874842,es,montijo,Montijo,57,15199,38.908388,-6.617854
874844,es,montilla,Montilla,51,23157,37.586266,-4.638054
874869,es,montornes del valles,Montornés del Vallés,56,13904,41.540328,2.26524
874872,es,montoro,Montoro,51,9502,38.024086,-4.383405
874897,es,monzon,Monzón,52,15461,41.913584,0.194091
875031,es,moron de la frontera,Morón de la Frontera,51,28438,37.120836,-5.45403
875071,es,mostoles,Móstoles,29,212504,40.320923,-3.862849
875081,es,motril,Motril,51,54313,36.750665,-3.517902
875152,es,mula,Mula,31,16172,38.040945,-1.490138
875203,es,murcia,Murcia,31,410364,37.987041,-1.130042
875256,es,muros,Muros,58,10252,42.776173,-9.060316
875329,es,naron,Narón,58,32509,43.516667,-8.152778
875390,es,navalcarnero,Navalcarnero,29,16396,40.289078,-4.011966
875408,es,navalmoral de la mata,Navalmoral de la Mata,57,16752,39.891585,-5.540639
875568,es,nerja,Nerja,51,18536,36.750498,-3.873931
875596,es,nigran,Nigrán,58,16432,42.147784,-8.801099
875601,es,nijar,Níjar,51,19449,36.966298,-2.204491
875690,es,novelda,Novelda,60,28974,38.384786,-0.767731
875857,es,oleiros,Oleiros,58,27510,43.333333,-8.316667
875884,es,oliva,Oliva,60,22422,38.919708,-0.119349
875892,es,olivenza,Olivenza,57,10788,38.68402,-7.101034
875947,es,olot,Olot,56,31901,42.181691,2.48476
875986,es,onda,Onda,60,22289,39.966667,-0.25
875989,es,ondarroa,Ondárroa,59,9712,43.325088,-2.423304
876088,es,oria,Oria,59,17378,43.255304,-2.019831
876092,es,orihuela,Orihuela,60,63147,38.084834,-0.944011
876202,es,osuna,Osuna,51,17290,37.237651,-5.107465
876289,es,oviedo,Oviedo,34,198250,43.363223,-5.853128
876340,es,padron,Padrón,58,8925,42.740047,-8.663136
876347,es,paiporta,Paiporta,60,20134,39.433333,-0.416667
876419,es,palafrugell,Palafrugell,56,20830,41.917381,3.163098
876420,es,palamos,Palamós,56,16874,41.84843,3.129121
876462,es,palencia,Palencia,55,77438,42.009552,-4.524063
876477,es,palma del rio,Palma del Río,51,19265,37.700239,-5.281208
876479,es,palma,Palma,07,378884,39.574337,2.655222
876514,es,pamplona,Pamplona,32,191549,42.814075,-1.641153
876677,es,parla,Parla,29,88983,40.236045,-3.767524
876743,es,paterna,Paterna,60,50148,39.5,-0.433333
876974,es,penarroya-pueblonuevo,Peñarroya-Pueblonuevo,51,12566,38.3,-5.266667
877245,es,pilar de la horadada,Pilar de la Horadada,60,14874,37.863021,-0.791864
877248,es,pilas,Pilas,51,11480,37.303373,-6.300969
877351,es,pinos puente,Pinos Puente,51,13884,37.251095,-3.749671
